# time NacFx NacFy NacFz NacMx NacMy NacMz HubFx HubFy HubFz HubMx HubMy HubMz TwrFx TwrFy TwrFz TwrMx TwrMy TwrMz BldFx BldFy BldFz BldMx BldMy BldMz TotFx TotFy TotFz TotMx TotMy TotMz
53.720000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4273942500e+06 -1.2493198242e+04 1.7078248047e+04 3.1137641297e+07 3.4098659808e+08 1.9091098267e+06 3.1385011536e+04 6.5111528993e+01 -1.9537626362e+03 -4.9617596843e+03 2.0311624550e+06 0.0000000000e+00 5.1087672424e-03 1.0224933624e-05 -4.9584491253e-04 -1.0987839808e-03 7.1047221373e-01 -8.1221749361e-05 2.4587792666e+06 -1.2428086703e+04 1.5124484915e+04 3.1132679536e+07 3.4301776125e+08 1.9091098266e+06
53.720000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4273942500e+06 -1.2493198242e+04 1.7078248047e+04 3.1137641297e+07 3.4098659808e+08 1.9091098267e+06 3.1385011536e+04 6.5111528993e+01 -1.9537626362e+03 -4.9617596843e+03 2.0311624550e+06 0.0000000000e+00 5.1087672424e-03 1.0224933624e-05 -4.9584491253e-04 -1.0987839808e-03 7.1047221373e-01 -8.1221749361e-05 2.4587792666e+06 -1.2428086703e+04 1.5124484915e+04 3.1132679536e+07 3.4301776125e+08 1.9091098266e+06
53.730000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4273597500e+06 -1.2362519531e+04 1.7214343750e+04 3.1118110829e+07 3.4100931914e+08 1.8647822871e+06 3.1382209442e+04 6.5360758066e+01 -1.9538497391e+03 -4.9687857545e+03 2.0310066097e+06 0.0000000000e+00 5.1084678650e-03 1.0437135696e-05 -4.9571651936e-04 -1.1283573223e-03 7.1043004141e-01 -8.0866233937e-05 2.4587419646e+06 -1.2297158763e+04 1.5260493515e+04 3.1113142042e+07 3.4304032646e+08 1.8647822870e+06
53.730000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4273597500e+06 -1.2362519531e+04 1.7214343750e+04 3.1118110829e+07 3.4100931914e+08 1.8647822871e+06 3.1382209442e+04 6.5360758066e+01 -1.9538497391e+03 -4.9687857545e+03 2.0310066097e+06 0.0000000000e+00 5.1084678650e-03 1.0437135696e-05 -4.9571651936e-04 -1.1283573223e-03 7.1043004141e-01 -8.0866233937e-05 2.4587419646e+06 -1.2297158763e+04 1.5260493515e+04 3.1113142042e+07 3.4304032646e+08 1.8647822870e+06
53.740000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4268882500e+06 -1.2346529297e+04 1.7240804688e+04 3.1113506981e+07 3.4095224324e+08 1.8568980307e+06 3.1379396759e+04 6.5604512155e+01 -1.9539353771e+03 -4.9753136013e+03 2.0308500643e+06 0.0000000000e+00 5.1081341553e-03 1.0475521088e-05 -4.9564050674e-04 -1.1337324720e-03 7.1038337717e-01 -8.0839150755e-05 2.4582676519e+06 -1.2280924774e+04 1.5286868815e+04 3.1108531666e+07 3.4298309402e+08 1.8568980306e+06
53.740000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4268882500e+06 -1.2346529297e+04 1.7240804688e+04 3.1113506981e+07 3.4095224324e+08 1.8568980307e+06 3.1379396759e+04 6.5604512155e+01 -1.9539353771e+03 -4.9753136013e+03 2.0308500643e+06 0.0000000000e+00 5.1081341553e-03 1.0475521088e-05 -4.9564050674e-04 -1.1337324720e-03 7.1038337717e-01 -8.0839150755e-05 2.4582676519e+06 -1.2280924774e+04 1.5286868815e+04 3.1108531666e+07 3.4298309402e+08 1.8568980306e+06
53.750000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4270877500e+06 -1.2096410156e+04 1.7476656250e+04 3.1070481986e+07 3.4102570663e+08 1.7749466793e+06 3.1376575653e+04 6.5842269897e+01 -1.9540197258e+03 -4.9813006098e+03 2.0306930499e+06 0.0000000000e+00 5.1078695679e-03 1.0861301422e-05 -4.9544058800e-04 -1.1874759453e-03 7.1034572372e-01 -8.0184165964e-05 2.4584643308e+06 -1.2030567875e+04 1.5522636029e+04 3.1065500684e+07 3.4305640039e+08 1.7749466792e+06
53.750000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4270877500e+06 -1.2096410156e+04 1.7476656250e+04 3.1070481986e+07 3.4102570663e+08 1.7749466793e+06 3.1376575653e+04 6.5842269897e+01 -1.9540197258e+03 -4.9813006098e+03 2.0306930499e+06 0.0000000000e+00 5.1078695679e-03 1.0861301422e-05 -4.9544058800e-04 -1.1874759453e-03 7.1034572372e-01 -8.0184165964e-05 2.4584643308e+06 -1.2030567875e+04 1.5522636029e+04 3.1065500684e+07 3.4305640039e+08 1.7749466792e+06
53.760000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4270560000e+06 -1.1956205078e+04 1.7614773438e+04 3.1045390593e+07 3.4105739327e+08 1.7275596646e+06 3.1373754791e+04 6.6073841989e+01 -1.9541033115e+03 -4.9867306624e+03 2.0305360436e+06 0.0000000000e+00 5.1075804138e-03 1.1117963791e-05 -4.9527451992e-04 -1.2232317871e-03 7.1030480220e-01 -7.9686992528e-05 2.4584297599e+06 -1.1890131225e+04 1.5660669631e+04 3.1040403861e+07 3.4308793002e+08 1.7275596646e+06
53.760000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4270560000e+06 -1.1956205078e+04 1.7614773438e+04 3.1045390593e+07 3.4105739327e+08 1.7275596646e+06 3.1373754791e+04 6.6073841989e+01 -1.9541033115e+03 -4.9867306624e+03 2.0305360436e+06 0.0000000000e+00 5.1075804138e-03 1.1117963791e-05 -4.9527451992e-04 -1.2232317871e-03 7.1030480220e-01 -7.9686992528e-05 2.4584297599e+06 -1.1890131225e+04 1.5660669631e+04 3.1040403861e+07 3.4308793002e+08 1.7275596646e+06
